Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,06/01/2008 12:00:00 AM,East North Central,United States,900
Air,06/01/2008 12:00:00 AM,West North Central,United States,300
Air,06/01/2008 12:00:00 AM,South Atlantic,United States,1700
Air,06/01/2008 12:00:00 AM,East South Central,United States,400
Air,06/01/2008 12:00:00 AM,West South Central,United States,400
Air,06/01/2008 12:00:00 AM,Mountain,United States,400
Air,06/01/2008 12:00:00 AM,Pacific,United States,900
Air,06/01/2008 12:00:00 AM,United Kingdom,Overseas,2800
Air,06/01/2008 12:00:00 AM,Germany,Overseas,700
Air,06/01/2008 12:00:00 AM,Other Europe,Overseas,1900
Air,06/01/2008 12:00:00 AM,Other Overseas,Overseas,2100
Road,06/01/2008 12:00:00 AM,Atlantic Canada,Canada,92200
Road,06/01/2008 12:00:00 AM,Quebec,Canada,5300
Road,06/01/2008 12:00:00 AM,Ontario,Canada,18200
Road,06/01/2008 12:00:00 AM,Western Canada,Canada,2200
Road,06/01/2008 12:00:00 AM,Maine (by road only),United States,1700
Road,06/01/2008 12:00:00 AM,Other New England,United States,4700
Road,06/01/2008 12:00:00 AM,Middle Atlantic,United States,2900
Road,06/01/2008 12:00:00 AM,East North Central,United States,1000
Road,06/01/2008 12:00:00 AM,West North Central,United States,400
Road,06/01/2008 12:00:00 AM,South Atlantic,United States,2600
Road,06/01/2008 12:00:00 AM,East South Central,United States,100
Road,06/01/2008 12:00:00 AM,West South Central,United States,400
Road,06/01/2008 12:00:00 AM,Mountain,United States,300
Road,06/01/2008 12:00:00 AM,Pacific,United States,400
Road,06/01/2008 12:00:00 AM,Overseas,Overseas,0
Air,07/01/2008 12:00:00 AM,Atlantic Canada,Canada,6400
Air,07/01/2008 12:00:00 AM,Quebec,Canada,3400
Air,07/01/2008 12:00:00 AM,Ontario,Canada,24800
Air,07/01/2008 12:00:00 AM,Western Canada,Canada,16300
Air,07/01/2008 12:00:00 AM,New England (inc Maine),United States,1400
Air,07/01/2008 12:00:00 AM,Middle Atlantic,United States,2100
Air,07/01/2008 12:00:00 AM,East North Central,United States,1300
Air,07/01/2008 12:00:00 AM,West North Central,United States,900
Air,07/01/2008 12:00:00 AM,South Atlantic,United States,3000
Air,07/01/2008 12:00:00 AM,East South Central,United States,500
Air,07/01/2008 12:00:00 AM,West South Central,United States,900
Air,07/01/2008 12:00:00 AM,Mountain,United States,800
Air,07/01/2008 12:00:00 AM,Pacific,United States,1800
Air,07/01/2008 12:00:00 AM,United Kingdom,Overseas,3100
Air,07/01/2008 12:00:00 AM,Germany,Overseas,1200
Air,07/01/2008 12:00:00 AM,Other Europe,Overseas,2600
Air,07/01/2008 12:00:00 AM,Other Overseas,Overseas,2600
Road,07/01/2008 12:00:00 AM,Atlantic Canada,Canada,112700
Road,07/01/2008 12:00:00 AM,Quebec,Canada,13700
Road,07/01/2008 12:00:00 AM,Ontario,Canada,46900
Road,07/01/2008 12:00:00 AM,Western Canada,Canada,3800
Road,07/01/2008 12:00:00 AM,Maine (by road only),United States,2700
Road,07/01/2008 12:00:00 AM,Other New England,United States,7900
Road,07/01/2008 12:00:00 AM,Middle Atlantic,United States,4600
Road,07/01/2008 12:00:00 AM,East North Central,United States,1600
Road,07/01/2008 12:00:00 AM,West North Central,United States,600
Road,07/01/2008 12:00:00 AM,South Atlantic,United States,3800
Road,07/01/2008 12:00:00 AM,East South Central,United States,200
Road,07/01/2008 12:00:00 AM,West South Central,United States,400
Road,07/01/2008 12:00:00 AM,Mountain,United States,600
Road,07/01/2008 12:00:00 AM,Pacific,United States,600
Road,07/01/2008 12:00:00 AM,Overseas,Overseas,0
Air,08/01/2008 12:00:00 AM,Atlantic Canada,Canada,8300
Air,08/01/2008 12:00:00 AM,Quebec,Canada,4800
Air,08/01/2008 12:00:00 AM,Ontario,Canada,36700
Air,08/01/2008 12:00:00 AM,Western Canada,Canada,28200
Air,08/01/2008 12:00:00 AM,New England (inc Maine),United States,1300
Air,08/01/2008 12:00:00 AM,Middle Atlantic,United States,3200
Air,08/01/2008 12:00:00 AM,East North Central,United States,2200
Air,08/01/2008 12:00:00 AM,West North Central,United States,1000
Air,08/01/2008 12:00:00 AM,South Atlantic,United States,4100
Air,08/01/2008 12:00:00 AM,East South Central,United States,600
Air,08/01/2008 12:00:00 AM,West South Central,United States,1500
Air,08/01/2008 12:00:00 AM,Mountain,United States,1100
Air,08/01/2008 12:00:00 AM,Pacific,United States,2400
Air,08/01/2008 12:00:00 AM,United Kingdom,Overseas,5000
Air,08/01/2008 12:00:00 AM,Germany,Overseas,2100
Air,08/01/2008 12:00:00 AM,Other Europe,Overseas,3000
Air,08/01/2008 12:00:00 AM,Other Overseas,Overseas,3800
Road,08/01/2008 12:00:00 AM,Atlantic Canada,Canada,127400
Road,08/01/2008 12:00:00 AM,Quebec,Canada,16200
Road,08/01/2008 12:00:00 AM,Ontario,Canada,53700
Road,08/01/2008 12:00:00 AM,Western Canada,Canada,3500
Road,08/01/2008 12:00:00 AM,Maine (by road only),United States,2800
Road,11/01/2008 12:00:00 AM,Quebec,Canada,1400
Road,08/01/2008 12:00:00 AM,Other New England,United States,9600
Road,08/01/2008 12:00:00 AM,Middle Atlantic,United States,5900
Road,08/01/2008 12:00:00 AM,East North Central,United States,1500
Road,08/01/2008 12:00:00 AM,West North Central,United States,500
Road,08/01/2008 12:00:00 AM,South Atlantic,United States,3400
Road,08/01/2008 12:00:00 AM,East South Central,United States,300
Road,08/01/2008 12:00:00 AM,West South Central,United States,500
Road,08/01/2008 12:00:00 AM,Mountain,United States,400
Road,08/01/2008 12:00:00 AM,Pacific,United States,500
Road,08/01/2008 12:00:00 AM,Overseas,Overseas,0
Air,09/01/2008 12:00:00 AM,Atlantic Canada,Canada,7800
Air,09/01/2008 12:00:00 AM,Quebec,Canada,4000
Air,09/01/2008 12:00:00 AM,Ontario,Canada,22800
Air,09/01/2008 12:00:00 AM,Western Canada,Canada,17600
Air,09/01/2008 12:00:00 AM,New England (inc Maine),United States,1300
Air,09/01/2008 12:00:00 AM,Middle Atlantic,United States,1600
Air,09/01/2008 12:00:00 AM,East North Central,United States,1300
Air,09/01/2008 12:00:00 AM,West North Central,United States,400
Air,09/01/2008 12:00:00 AM,South Atlantic,United States,2500
Air,09/01/2008 12:00:00 AM,East South Central,United States,400
Air,09/01/2008 12:00:00 AM,West South Central,United States,1000
Air,09/01/2008 12:00:00 AM,Mountain,United States,1000
Air,09/01/2008 12:00:00 AM,Pacific,United States,1700
Air,09/01/2008 12:00:00 AM,United Kingdom,Overseas,4200
Air,09/01/2008 12:00:00 AM,Germany,Overseas,1300
Air,09/01/2008 12:00:00 AM,Other Europe,Overseas,2400
Air,09/01/2008 12:00:00 AM,Other Overseas,Overseas,2600
Road,09/01/2008 12:00:00 AM,Atlantic Canada,Canada,96400
Road,09/01/2008 12:00:00 AM,Quebec,Canada,6600
Road,09/01/2008 12:00:00 AM,Ontario,Canada,20600
Road,09/01/2008 12:00:00 AM,Western Canada,Canada,3600
Road,09/01/2008 12:00:00 AM,Maine (by road only),United States,2200
Road,09/01/2008 12:00:00 AM,Other New England,United States,5400
Road,09/01/2008 12:00:00 AM,Middle Atlantic,United States,3500
Road,09/01/2008 12:00:00 AM,East North Central,United States,1600
Road,09/01/2008 12:00:00 AM,West North Central,United States,500
Road,09/01/2008 12:00:00 AM,South Atlantic,United States,2700
Road,09/01/2008 12:00:00 AM,East South Central,United States,600
Road,09/01/2008 12:00:00 AM,West South Central,United States,500
Road,09/01/2008 12:00:00 AM,Mountain,United States,400
Road,09/01/2008 12:00:00 AM,Pacific,United States,400
Road,09/01/2008 12:00:00 AM,Overseas,Overseas,0
Air,10/01/2008 12:00:00 AM,Atlantic Canada,Canada,7300
Air,10/01/2008 12:00:00 AM,Quebec,Canada,3900
Air,10/01/2008 12:00:00 AM,Ontario,Canada,21900
Air,10/01/2008 12:00:00 AM,Western Canada,Canada,13800
Air,10/01/2008 12:00:00 AM,New England (inc Maine),United States,1000
Air,10/01/2008 12:00:00 AM,Middle Atlantic,United States,1200
Air,10/01/2008 12:00:00 AM,East North Central,United States,900
Air,10/01/2008 12:00:00 AM,West North Central,United States,300
Air,10/01/2008 12:00:00 AM,South Atlantic,United States,1800
Air,10/01/2008 12:00:00 AM,East South Central,United States,200
Air,10/01/2008 12:00:00 AM,West South Central,United States,500
Air,10/01/2008 12:00:00 AM,Mountain,United States,400
Air,10/01/2008 12:00:00 AM,Pacific,United States,1500
Air,10/01/2008 12:00:00 AM,United Kingdom,Overseas,2500
Air,10/01/2008 12:00:00 AM,Germany,Overseas,1800
Air,10/01/2008 12:00:00 AM,Other Europe,Overseas,1200
Air,10/01/2008 12:00:00 AM,Other Overseas,Overseas,1800
Road,10/01/2008 12:00:00 AM,Atlantic Canada,Canada,98200
Road,10/01/2008 12:00:00 AM,Quebec,Canada,3800
Road,10/01/2008 12:00:00 AM,Ontario,Canada,12000
Road,10/01/2008 12:00:00 AM,Western Canada,Canada,1700
Road,10/01/2008 12:00:00 AM,Maine (by road only),United States,1300
Road,10/01/2008 12:00:00 AM,Other New England,United States,2600
Road,10/01/2008 12:00:00 AM,Middle Atlantic,United States,1600
Road,10/01/2008 12:00:00 AM,East North Central,United States,900
Road,10/01/2008 12:00:00 AM,West North Central,United States,200
Road,10/01/2008 12:00:00 AM,South Atlantic,United States,800
Road,10/01/2008 12:00:00 AM,East South Central,United States,100
Road,10/01/2008 12:00:00 AM,West South Central,United States,200
Road,10/01/2008 12:00:00 AM,Mountain,United States,200
Road,10/01/2008 12:00:00 AM,Pacific,United States,300
Road,10/01/2008 12:00:00 AM,Overseas,Overseas,0
Air,11/01/2008 12:00:00 AM,Atlantic Canada,Canada,7500
Air,11/01/2008 12:00:00 AM,Quebec,Canada,2800
Air,11/01/2008 12:00:00 AM,Ontario,Canada,13700
Air,11/01/2008 12:00:00 AM,Western Canada,Canada,5000
Air,11/01/2008 12:00:00 AM,New England (inc Maine),United States,800
Air,11/01/2008 12:00:00 AM,Middle Atlantic,United States,700
Air,11/01/2008 12:00:00 AM,East North Central,United States,500
Air,11/01/2008 12:00:00 AM,West North Central,United States,200
Air,11/01/2008 12:00:00 AM,South Atlantic,United States,700
Air,11/01/2008 12:00:00 AM,East South Central,United States,0
Air,11/01/2008 12:00:00 AM,West South Central,United States,300
Air,11/01/2008 12:00:00 AM,Mountain,United States,300
Air,11/01/2008 12:00:00 AM,Pacific,United States,300
Air,11/01/2008 12:00:00 AM,United Kingdom,Overseas,500
Air,11/01/2008 12:00:00 AM,Germany,Overseas,300
Air,11/01/2008 12:00:00 AM,Other Europe,Overseas,500
Air,11/01/2008 12:00:00 AM,Other Overseas,Overseas,1100
Road,11/01/2008 12:00:00 AM,Atlantic Canada,Canada,79100
Road,11/01/2008 12:00:00 AM,Ontario,Canada,4200
Road,11/01/2008 12:00:00 AM,Western Canada,Canada,700
Road,11/01/2008 12:00:00 AM,Maine (by road only),United States,700
Road,11/01/2008 12:00:00 AM,Other New England,United States,900
Road,11/01/2008 12:00:00 AM,Middle Atlantic,United States,300
Road,11/01/2008 12:00:00 AM,East North Central,United States,100
Road,11/01/2008 12:00:00 AM,West North Central,United States,0
Road,11/01/2008 12:00:00 AM,South Atlantic,United States,100
Road,11/01/2008 12:00:00 AM,East South Central,United States,0
Road,11/01/2008 12:00:00 AM,West South Central,United States,0
Road,11/01/2008 12:00:00 AM,Mountain,United States,0
Road,11/01/2008 12:00:00 AM,Pacific,United States,0
Road,11/01/2008 12:00:00 AM,Overseas,Overseas,0
Air,12/01/2008 12:00:00 AM,Atlantic Canada,Canada,7100
Air,12/01/2008 12:00:00 AM,Quebec,Canada,1800
Air,12/01/2008 12:00:00 AM,Ontario,Canada,10300
Air,12/01/2008 12:00:00 AM,Western Canada,Canada,5300
Air,12/01/2008 12:00:00 AM,New England (inc Maine),United States,700
Air,12/01/2008 12:00:00 AM,Middle Atlantic,United States,1000
Air,12/01/2008 12:00:00 AM,East North Central,United States,700
Air,12/01/2008 12:00:00 AM,West North Central,United States,100
Air,12/01/2008 12:00:00 AM,South Atlantic,United States,1200
Air,12/01/2008 12:00:00 AM,East South Central,United States,100
Air,12/01/2008 12:00:00 AM,West South Central,United States,400
Air,12/01/2008 12:00:00 AM,Mountain,United States,300
Air,12/01/2008 12:00:00 AM,Pacific,United States,400
Air,12/01/2008 12:00:00 AM,United Kingdom,Overseas,600
Air,12/01/2008 12:00:00 AM,Germany,Overseas,200
Air,12/01/2008 12:00:00 AM,Other Europe,Overseas,800
Air,12/01/2008 12:00:00 AM,Other Overseas,Overseas,1100
Road,12/01/2008 12:00:00 AM,Atlantic Canada,Canada,71700
Road,12/01/2008 12:00:00 AM,Quebec,Canada,1100
Road,12/01/2008 12:00:00 AM,Ontario,Canada,4000
Road,12/01/2008 12:00:00 AM,Western Canada,Canada,500
Road,12/01/2008 12:00:00 AM,Maine (by road only),United States,400
Road,12/01/2008 12:00:00 AM,Other New England,United States,700
Road,12/01/2008 12:00:00 AM,Middle Atlantic,United States,200
Road,12/01/2008 12:00:00 AM,East North Central,United States,0
Road,12/01/2008 12:00:00 AM,West North Central,United States,0
Road,12/01/2008 12:00:00 AM,South Atlantic,United States,100
Road,12/01/2008 12:00:00 AM,East South Central,United States,0
Road,12/01/2008 12:00:00 AM,West South Central,United States,0
Road,12/01/2008 12:00:00 AM,Mountain,United States,0
Road,12/01/2008 12:00:00 AM,Pacific,United States,0
Road,12/01/2008 12:00:00 AM,Overseas,Overseas,0
Air,01/01/2009 12:00:00 AM,Atlantic Canada,Canada,7400
Air,01/01/2009 12:00:00 AM,Quebec,Canada,2800
Air,01/01/2009 12:00:00 AM,Ontario,Canada,15000
Air,01/01/2009 12:00:00 AM,Western Canada,Canada,9200
Air,01/01/2009 12:00:00 AM,New England (inc Maine),United States,500
Air,01/01/2009 12:00:00 AM,Middle Atlantic,United States,400
Air,01/01/2009 12:00:00 AM,East North Central,United States,300
Air,01/01/2009 12:00:00 AM,West North Central,United States,100
Air,01/01/2009 12:00:00 AM,South Atlantic,United States,900
Air,01/01/2009 12:00:00 AM,East South Central,United States,100
Air,01/01/2009 12:00:00 AM,West South Central,United States,300
Air,01/01/2009 12:00:00 AM,Mountain,United States,200
Air,01/01/2009 12:00:00 AM,Pacific,United States,100
Air,01/01/2009 12:00:00 AM,United Kingdom,Overseas,800
Air,01/01/2009 12:00:00 AM,Germany,Overseas,200
Air,01/01/2009 12:00:00 AM,Other Europe,Overseas,700
Air,01/01/2009 12:00:00 AM,Other Overseas,Overseas,1500
Road,01/01/2009 12:00:00 AM,Atlantic Canada,Canada,58400
Road,01/01/2009 12:00:00 AM,Quebec,Canada,500
Road,01/01/2009 12:00:00 AM,Ontario,Canada,1700
Road,01/01/2009 12:00:00 AM,Western Canada,Canada,300
Road,01/01/2009 12:00:00 AM,Maine (by road only),United States,300
Road,01/01/2009 12:00:00 AM,Other New England,United States,300
Road,01/01/2009 12:00:00 AM,Middle Atlantic,United States,100
Road,01/01/2009 12:00:00 AM,East North Central,United States,0
Road,01/01/2009 12:00:00 AM,West North Central,United States,0
Road,01/01/2009 12:00:00 AM,South Atlantic,United States,0
Road,01/01/2009 12:00:00 AM,East South Central,United States,0
Road,01/01/2009 12:00:00 AM,West South Central,United States,0
Road,01/01/2009 12:00:00 AM,Mountain,United States,0
Road,01/01/2009 12:00:00 AM,Pacific,United States,0
Road,01/01/2009 12:00:00 AM,Overseas,Overseas,0
Air,02/01/2009 12:00:00 AM,Atlantic Canada,Canada,6800
Air,02/01/2009 12:00:00 AM,Quebec,Canada,2500
Air,02/01/2009 12:00:00 AM,Ontario,Canada,9400
Air,02/01/2009 12:00:00 AM,Western Canada,Canada,3500
Air,02/01/2009 12:00:00 AM,New England (inc Maine),United States,300
Air,02/01/2009 12:00:00 AM,Middle Atlantic,United States,500
Air,02/01/2009 12:00:00 AM,East North Central,United States,200
Air,02/01/2009 12:00:00 AM,West North Central,United States,0
Air,02/01/2009 12:00:00 AM,South Atlantic,United States,400
Air,02/01/2009 12:00:00 AM,East South Central,United States,0
Air,02/01/2009 12:00:00 AM,West South Central,United States,0
Air,02/01/2009 12:00:00 AM,Mountain,United States,0
Air,02/01/2009 12:00:00 AM,Pacific,United States,200
Air,02/01/2009 12:00:00 AM,United Kingdom,Overseas,600
Air,02/01/2009 12:00:00 AM,Germany,Overseas,100
Air,02/01/2009 12:00:00 AM,Other Europe,Overseas,500
Air,02/01/2009 12:00:00 AM,Other Overseas,Overseas,600
Road,02/01/2009 12:00:00 AM,Atlantic Canada,Canada,59300
Road,02/01/2009 12:00:00 AM,Quebec,Canada,800
Road,02/01/2009 12:00:00 AM,Ontario,Canada,1800
Road,02/01/2009 12:00:00 AM,Western Canada,Canada,300
Road,02/01/2009 12:00:00 AM,Maine (by road only),United States,300
Road,02/01/2009 12:00:00 AM,Other New England,United States,300
Road,02/01/2009 12:00:00 AM,Middle Atlantic,United States,100
Road,02/01/2009 12:00:00 AM,East North Central,United States,0
Road,02/01/2009 12:00:00 AM,West North Central,United States,0
Road,02/01/2009 12:00:00 AM,South Atlantic,United States,0
Road,02/01/2009 12:00:00 AM,East South Central,United States,0
Road,02/01/2009 12:00:00 AM,West South Central,United States,0
Road,02/01/2009 12:00:00 AM,Mountain,United States,0
Road,02/01/2009 12:00:00 AM,Pacific,United States,0
Road,02/01/2009 12:00:00 AM,Overseas,Overseas,0
Air,03/01/2009 12:00:00 AM,Atlantic Canada,Canada,7000
Air,03/01/2009 12:00:00 AM,Quebec,Canada,1800
Air,03/01/2009 12:00:00 AM,Ontario,Canada,9600
Air,03/01/2009 12:00:00 AM,Western Canada,Canada,4900
Air,03/01/2009 12:00:00 AM,New England (inc Maine),United States,300
Air,03/01/2009 12:00:00 AM,Middle Atlantic,United States,300
Air,03/01/2009 12:00:00 AM,East North Central,United States,100
Air,03/01/2009 12:00:00 AM,West North Central,United States,0
Air,03/01/2009 12:00:00 AM,South Atlantic,United States,500
Air,03/01/2009 12:00:00 AM,East South Central,United States,100
Air,03/01/2009 12:00:00 AM,West South Central,United States,100
Air,03/01/2009 12:00:00 AM,Mountain,United States,100
Air,03/01/2009 12:00:00 AM,Pacific,United States,200
Air,03/01/2009 12:00:00 AM,United Kingdom,Overseas,700
Air,03/01/2009 12:00:00 AM,Germany,Overseas,200
Air,03/01/2009 12:00:00 AM,Other Europe,Overseas,300
Air,03/01/2009 12:00:00 AM,Other Overseas,Overseas,300
Road,03/01/2009 12:00:00 AM,Atlantic Canada,Canada,71200
Road,03/01/2009 12:00:00 AM,Quebec,Canada,1000
Road,03/01/2009 12:00:00 AM,Ontario,Canada,3500
Road,03/01/2009 12:00:00 AM,Western Canada,Canada,500
Road,03/01/2009 12:00:00 AM,Maine (by road only),United States,400
Road,03/01/2009 12:00:00 AM,Other New England,United States,700
Road,03/01/2009 12:00:00 AM,Middle Atlantic,United States,200
Road,03/01/2009 12:00:00 AM,East North Central,United States,100
Road,03/01/2009 12:00:00 AM,West North Central,United States,0
Road,03/01/2009 12:00:00 AM,South Atlantic,United States,100
Road,03/01/2009 12:00:00 AM,East South Central,United States,0
Road,03/01/2009 12:00:00 AM,West South Central,United States,0
Road,03/01/2009 12:00:00 AM,Mountain,United States,0
Road,03/01/2009 12:00:00 AM,Pacific,United States,0
Road,03/01/2009 12:00:00 AM,Overseas,Overseas,0
Air,04/01/2009 12:00:00 AM,Atlantic Canada,Canada,6200
Air,04/01/2009 12:00:00 AM,Quebec,Canada,3100
Air,04/01/2009 12:00:00 AM,Ontario,Canada,13500
Air,04/01/2009 12:00:00 AM,Western Canada,Canada,4200
Air,04/01/2009 12:00:00 AM,New England (inc Maine),United States,600
Air,04/01/2009 12:00:00 AM,Middle Atlantic,United States,600
Air,04/01/2009 12:00:00 AM,East North Central,United States,300
Air,04/01/2009 12:00:00 AM,West North Central,United States,100
Air,04/01/2009 12:00:00 AM,South Atlantic,United States,600
Air,04/01/2009 12:00:00 AM,East South Central,United States,0
Air,04/01/2009 12:00:00 AM,West South Central,United States,200
Air,04/01/2009 12:00:00 AM,Mountain,United States,100
Air,04/01/2009 12:00:00 AM,Pacific,United States,300
Air,04/01/2009 12:00:00 AM,United Kingdom,Overseas,900
Air,04/01/2009 12:00:00 AM,Germany,Overseas,200
Air,04/01/2009 12:00:00 AM,Other Europe,Overseas,900
Air,04/01/2009 12:00:00 AM,Other Overseas,Overseas,500
Road,04/01/2009 12:00:00 AM,Atlantic Canada,Canada,81200
Road,04/01/2009 12:00:00 AM,Quebec,Canada,1800
Road,04/01/2009 12:00:00 AM,Ontario,Canada,6100
Road,04/01/2009 12:00:00 AM,Western Canada,Canada,900
Road,04/01/2009 12:00:00 AM,Maine (by road only),United States,600
Road,04/01/2009 12:00:00 AM,Other New England,United States,900
Road,04/01/2009 12:00:00 AM,Middle Atlantic,United States,300
Road,04/01/2009 12:00:00 AM,East North Central,United States,100
Road,04/01/2009 12:00:00 AM,West North Central,United States,0
Road,04/01/2009 12:00:00 AM,South Atlantic,United States,200
Road,04/01/2009 12:00:00 AM,East South Central,United States,0
Road,04/01/2009 12:00:00 AM,West South Central,United States,0
Road,04/01/2009 12:00:00 AM,Mountain,United States,100
Road,04/01/2009 12:00:00 AM,Pacific,United States,0
Road,04/01/2009 12:00:00 AM,Overseas,Overseas,0
Air,05/01/2009 12:00:00 AM,Atlantic Canada,Canada,7300
Air,05/01/2009 12:00:00 AM,Quebec,Canada,2900
Air,05/01/2009 12:00:00 AM,Ontario,Canada,19800
Air,05/01/2009 12:00:00 AM,Western Canada,Canada,11600
Air,05/01/2009 12:00:00 AM,New England (inc Maine),United States,800
Air,05/01/2009 12:00:00 AM,Middle Atlantic,United States,1200
Air,05/01/2009 12:00:00 AM,East North Central,United States,500
Air,05/01/2009 12:00:00 AM,West North Central,United States,200
Air,05/01/2009 12:00:00 AM,South Atlantic,United States,1200
Air,05/01/2009 12:00:00 AM,East South Central,United States,200
Air,05/01/2009 12:00:00 AM,West South Central,United States,300
Air,05/01/2009 12:00:00 AM,Mountain,United States,300
Air,05/01/2009 12:00:00 AM,Pacific,United States,600
Air,05/01/2009 12:00:00 AM,United Kingdom,Overseas,900
Air,05/01/2009 12:00:00 AM,Germany,Overseas,300
Air,05/01/2009 12:00:00 AM,Other Europe,Overseas,600
Air,05/01/2009 12:00:00 AM,Other Overseas,Overseas,1500
Road,05/01/2009 12:00:00 AM,Atlantic Canada,Canada,99200
Road,05/01/2009 12:00:00 AM,Quebec,Canada,3500
Road,05/01/2009 12:00:00 AM,Ontario,Canada,12100
Road,05/01/2009 12:00:00 AM,Western Canada,Canada,1800
Road,05/01/2009 12:00:00 AM,Maine (by road only),United States,1100
Road,05/01/2009 12:00:00 AM,Other New England,United States,1700
Road,05/01/2009 12:00:00 AM,Middle Atlantic,United States,1000
Road,05/01/2009 12:00:00 AM,East North Central,United States,300
Road,05/01/2009 12:00:00 AM,West North Central,United States,100
Road,05/01/2009 12:00:00 AM,South Atlantic,United States,800
Road,05/01/2009 12:00:00 AM,East South Central,United States,0
Road,05/01/2009 12:00:00 AM,West South Central,United States,100
Road,05/01/2009 12:00:00 AM,Mountain,United States,100
Road,05/01/2009 12:00:00 AM,Pacific,United States,100
Road,05/01/2009 12:00:00 AM,Overseas,Overseas,0
Air,06/01/2009 12:00:00 AM,Atlantic Canada,Canada,5800
Air,06/01/2009 12:00:00 AM,Quebec,Canada,2600
Air,06/01/2009 12:00:00 AM,Ontario,Canada,19400
Air,06/01/2009 12:00:00 AM,Western Canada,Canada,10500
Air,06/01/2009 12:00:00 AM,New England (inc Maine),United States,700
Air,06/01/2009 12:00:00 AM,Middle Atlantic,United States,1200
Air,06/01/2009 12:00:00 AM,East North Central,United States,1400
Air,06/01/2009 12:00:00 AM,West North Central,United States,500
Air,06/01/2009 12:00:00 AM,South Atlantic,United States,1700
Air,06/01/2009 12:00:00 AM,East South Central,United States,400
Air,06/01/2009 12:00:00 AM,West South Central,United States,700
Air,06/01/2009 12:00:00 AM,Mountain,United States,500
Air,06/01/2009 12:00:00 AM,Pacific,United States,1100
Air,06/01/2009 12:00:00 AM,United Kingdom,Overseas,2800
Air,06/01/2009 12:00:00 AM,Germany,Overseas,1200
Air,06/01/2009 12:00:00 AM,Other Europe,Overseas,1000
Air,06/01/2009 12:00:00 AM,Other Overseas,Overseas,2100
Road,06/01/2009 12:00:00 AM,Atlantic Canada,Canada,95300
Road,06/01/2009 12:00:00 AM,Quebec,Canada,5600
Road,06/01/2009 12:00:00 AM,Ontario,Canada,21400
Road,06/01/2009 12:00:00 AM,Western Canada,Canada,3000
Road,06/01/2009 12:00:00 AM,Maine (by road only),United States,1800
Road,06/01/2009 12:00:00 AM,Other New England,United States,4700
Road,06/01/2009 12:00:00 AM,Middle Atlantic,United States,2700
Road,06/01/2009 12:00:00 AM,East North Central,United States,1000
Road,01/01/2010 12:00:00 AM,Overseas,Overseas,0
Road,06/01/2009 12:00:00 AM,West North Central,United States,300
Road,06/01/2009 12:00:00 AM,South Atlantic,United States,2600
Road,06/01/2009 12:00:00 AM,East South Central,United States,100
Road,06/01/2009 12:00:00 AM,West South Central,United States,400
Road,06/01/2009 12:00:00 AM,Mountain,United States,300
Road,06/01/2009 12:00:00 AM,Pacific,United States,400
Road,06/01/2009 12:00:00 AM,Overseas,Overseas,0
Air,07/01/2009 12:00:00 AM,Atlantic Canada,Canada,6500
Air,07/01/2009 12:00:00 AM,Quebec,Canada,3600
Air,07/01/2009 12:00:00 AM,Ontario,Canada,30100
Air,07/01/2009 12:00:00 AM,Western Canada,Canada,19100
Air,07/01/2009 12:00:00 AM,New England (inc Maine),United States,1500
Air,07/01/2009 12:00:00 AM,Middle Atlantic,United States,2200
Air,07/01/2009 12:00:00 AM,East North Central,United States,1400
Air,07/01/2009 12:00:00 AM,West North Central,United States,700
Air,07/01/2009 12:00:00 AM,South Atlantic,United States,3500
Air,07/01/2009 12:00:00 AM,East South Central,United States,500
Air,07/01/2009 12:00:00 AM,West South Central,United States,1100
Air,07/01/2009 12:00:00 AM,Mountain,United States,1000
Air,07/01/2009 12:00:00 AM,Pacific,United States,1500
Air,07/01/2009 12:00:00 AM,United Kingdom,Overseas,2900
Air,07/01/2009 12:00:00 AM,Germany,Overseas,1600
Air,07/01/2009 12:00:00 AM,Other Europe,Overseas,2600
Air,07/01/2009 12:00:00 AM,Other Overseas,Overseas,3300
Road,07/01/2009 12:00:00 AM,Atlantic Canada,Canada,131000
Road,07/01/2009 12:00:00 AM,Quebec,Canada,18000
Road,07/01/2009 12:00:00 AM,Ontario,Canada,64000
Road,07/01/2009 12:00:00 AM,Western Canada,Canada,5400
Road,07/01/2009 12:00:00 AM,Maine (by road only),United States,3100
Road,07/01/2009 12:00:00 AM,Other New England,United States,9700
Road,07/01/2009 12:00:00 AM,Middle Atlantic,United States,5400
Road,07/01/2009 12:00:00 AM,East North Central,United States,1900
Road,07/01/2009 12:00:00 AM,West North Central,United States,600
Road,07/01/2009 12:00:00 AM,South Atlantic,United States,4400
Road,07/01/2009 12:00:00 AM,East South Central,United States,300
Road,07/01/2009 12:00:00 AM,West South Central,United States,700
Road,07/01/2009 12:00:00 AM,Mountain,United States,500
Road,07/01/2009 12:00:00 AM,Pacific,United States,800
Road,07/01/2009 12:00:00 AM,Overseas,Overseas,0
Air,08/01/2009 12:00:00 AM,Atlantic Canada,Canada,6100
Air,08/01/2009 12:00:00 AM,Quebec,Canada,3400
Air,08/01/2009 12:00:00 AM,Ontario,Canada,35900
Air,08/01/2009 12:00:00 AM,Western Canada,Canada,24900
Air,08/01/2009 12:00:00 AM,New England (inc Maine),United States,1200
Air,08/01/2009 12:00:00 AM,Middle Atlantic,United States,2400
