Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,03/01/2006 12:00:00 AM,West North Central,United States,0
Road,03/01/2006 12:00:00 AM,South Atlantic,United States,100
Road,03/01/2006 12:00:00 AM,East South Central,United States,0
Road,03/01/2006 12:00:00 AM,West South Central,United States,0
Road,03/01/2006 12:00:00 AM,Mountain,United States,0
Road,03/01/2006 12:00:00 AM,Pacific,United States,0
Road,03/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,04/01/2006 12:00:00 AM,Atlantic Canada,Canada,7500
Air,04/01/2006 12:00:00 AM,Quebec,Canada,4700
Air,04/01/2006 12:00:00 AM,Ontario,Canada,20100
Air,04/01/2006 12:00:00 AM,Western Canada,Canada,6100
Air,04/01/2006 12:00:00 AM,New England (inc Maine),United States,200
Air,04/01/2006 12:00:00 AM,Middle Atlantic,United States,1500
Air,04/01/2006 12:00:00 AM,East North Central,United States,300
Air,04/01/2006 12:00:00 AM,West North Central,United States,300
Air,04/01/2006 12:00:00 AM,South Atlantic,United States,1200
Air,04/01/2006 12:00:00 AM,East South Central,United States,200
Air,04/01/2006 12:00:00 AM,West South Central,United States,400
Air,04/01/2006 12:00:00 AM,Mountain,United States,100
Air,04/01/2006 12:00:00 AM,Pacific,United States,400
Air,04/01/2006 12:00:00 AM,United Kingdom,Overseas,500
Air,04/01/2006 12:00:00 AM,Germany,Overseas,300
Air,04/01/2006 12:00:00 AM,Other Europe,Overseas,700
Air,04/01/2006 12:00:00 AM,Other Overseas,Overseas,500
Road,04/01/2006 12:00:00 AM,Atlantic Canada,Canada,85100
Road,04/01/2006 12:00:00 AM,Quebec,Canada,1300
Road,04/01/2006 12:00:00 AM,Ontario,Canada,6200
Road,04/01/2006 12:00:00 AM,Western Canada,Canada,400
Road,04/01/2006 12:00:00 AM,Maine (by road only),United States,700
Road,04/01/2006 12:00:00 AM,Other New England,United States,1300
Road,04/01/2006 12:00:00 AM,Middle Atlantic,United States,600
Road,04/01/2006 12:00:00 AM,East North Central,United States,200
Road,04/01/2006 12:00:00 AM,West North Central,United States,0
Road,04/01/2006 12:00:00 AM,South Atlantic,United States,300
Road,04/01/2006 12:00:00 AM,East South Central,United States,0
Road,04/01/2006 12:00:00 AM,West South Central,United States,0
Road,04/01/2006 12:00:00 AM,Mountain,United States,0
Road,04/01/2006 12:00:00 AM,Pacific,United States,100
Road,04/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,05/01/2006 12:00:00 AM,Atlantic Canada,Canada,8900
Air,05/01/2006 12:00:00 AM,Quebec,Canada,3800
Air,05/01/2006 12:00:00 AM,Ontario,Canada,16600
Air,05/01/2006 12:00:00 AM,Western Canada,Canada,7000
Air,05/01/2006 12:00:00 AM,New England (inc Maine),United States,800
Air,05/01/2006 12:00:00 AM,Middle Atlantic,United States,1400
Air,05/01/2006 12:00:00 AM,East North Central,United States,500
Air,05/01/2006 12:00:00 AM,West North Central,United States,200
Air,05/01/2006 12:00:00 AM,South Atlantic,United States,1800
Air,05/01/2006 12:00:00 AM,East South Central,United States,100
Air,05/01/2006 12:00:00 AM,West South Central,United States,400
Air,05/01/2006 12:00:00 AM,Mountain,United States,500
Air,05/01/2006 12:00:00 AM,Pacific,United States,800
Air,05/01/2006 12:00:00 AM,United Kingdom,Overseas,1400
Air,05/01/2006 12:00:00 AM,Germany,Overseas,1300
Air,05/01/2006 12:00:00 AM,Other Europe,Overseas,800
Air,05/01/2006 12:00:00 AM,Other Overseas,Overseas,1900
Road,05/01/2006 12:00:00 AM,Atlantic Canada,Canada,95500
Road,05/01/2006 12:00:00 AM,Quebec,Canada,2800
Road,05/01/2006 12:00:00 AM,Ontario,Canada,9100
Road,05/01/2006 12:00:00 AM,Western Canada,Canada,1200
Road,05/01/2006 12:00:00 AM,Maine (by road only),United States,800
Road,05/01/2006 12:00:00 AM,Other New England,United States,2200
Road,05/01/2006 12:00:00 AM,Middle Atlantic,United States,1200
Road,05/01/2006 12:00:00 AM,East North Central,United States,500
Road,05/01/2006 12:00:00 AM,West North Central,United States,200
Road,05/01/2006 12:00:00 AM,South Atlantic,United States,900
Road,05/01/2006 12:00:00 AM,East South Central,United States,100
Road,05/01/2006 12:00:00 AM,West South Central,United States,200
Road,05/01/2006 12:00:00 AM,Mountain,United States,200
Road,05/01/2006 12:00:00 AM,Pacific,United States,200
Road,05/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,06/01/2006 12:00:00 AM,Atlantic Canada,Canada,7200
Air,06/01/2006 12:00:00 AM,Quebec,Canada,4600
Air,06/01/2006 12:00:00 AM,Ontario,Canada,20100
Air,06/01/2006 12:00:00 AM,Western Canada,Canada,10300
Air,06/01/2006 12:00:00 AM,New England (inc Maine),United States,900
Air,06/01/2006 12:00:00 AM,Middle Atlantic,United States,1500
Air,06/01/2006 12:00:00 AM,East North Central,United States,1000
Air,06/01/2006 12:00:00 AM,West North Central,United States,400
Air,06/01/2006 12:00:00 AM,South Atlantic,United States,2700
Air,06/01/2006 12:00:00 AM,East South Central,United States,400
Air,06/01/2006 12:00:00 AM,West South Central,United States,1200
Air,06/01/2006 12:00:00 AM,Mountain,United States,800
Air,06/01/2006 12:00:00 AM,Pacific,United States,900
Air,06/01/2006 12:00:00 AM,United Kingdom,Overseas,2600
Air,06/01/2006 12:00:00 AM,Germany,Overseas,1200
Air,06/01/2006 12:00:00 AM,Other Europe,Overseas,1400
Air,06/01/2006 12:00:00 AM,Other Overseas,Overseas,1700
Road,06/01/2006 12:00:00 AM,Atlantic Canada,Canada,95500
Road,06/01/2006 12:00:00 AM,Quebec,Canada,5800
Road,06/01/2006 12:00:00 AM,Ontario,Canada,17500
Road,06/01/2006 12:00:00 AM,Western Canada,Canada,2200
Road,06/01/2006 12:00:00 AM,Maine (by road only),United States,2100
Road,06/01/2006 12:00:00 AM,Other New England,United States,5800
Road,06/01/2006 12:00:00 AM,Middle Atlantic,United States,4000
Air,11/01/2006 12:00:00 AM,Ontario,Canada,13900
Road,06/01/2006 12:00:00 AM,East North Central,United States,1500
Road,06/01/2006 12:00:00 AM,West North Central,United States,500
Road,06/01/2006 12:00:00 AM,South Atlantic,United States,3100
Road,06/01/2006 12:00:00 AM,East South Central,United States,500
Road,06/01/2006 12:00:00 AM,West South Central,United States,600
Road,06/01/2006 12:00:00 AM,Mountain,United States,600
Road,06/01/2006 12:00:00 AM,Pacific,United States,900
Road,06/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,07/01/2006 12:00:00 AM,Atlantic Canada,Canada,6000
Air,07/01/2006 12:00:00 AM,Quebec,Canada,3800
Air,07/01/2006 12:00:00 AM,Ontario,Canada,28300
Air,07/01/2006 12:00:00 AM,Western Canada,Canada,14000
Air,07/01/2006 12:00:00 AM,New England (inc Maine),United States,2300
Air,07/01/2006 12:00:00 AM,Middle Atlantic,United States,2300
Air,07/01/2006 12:00:00 AM,East North Central,United States,2100
Air,07/01/2006 12:00:00 AM,West North Central,United States,600
Air,07/01/2006 12:00:00 AM,South Atlantic,United States,4400
Air,07/01/2006 12:00:00 AM,East South Central,United States,700
Air,07/01/2006 12:00:00 AM,West South Central,United States,1300
Air,07/01/2006 12:00:00 AM,Mountain,United States,900
Air,07/01/2006 12:00:00 AM,Pacific,United States,2600
Air,07/01/2006 12:00:00 AM,United Kingdom,Overseas,4000
Air,07/01/2006 12:00:00 AM,Germany,Overseas,2700
Air,07/01/2006 12:00:00 AM,Other Europe,Overseas,2500
Air,07/01/2006 12:00:00 AM,Other Overseas,Overseas,2300
Road,07/01/2006 12:00:00 AM,Atlantic Canada,Canada,109800
Road,07/01/2006 12:00:00 AM,Quebec,Canada,16100
Road,07/01/2006 12:00:00 AM,Ontario,Canada,48200
Road,07/01/2006 12:00:00 AM,Western Canada,Canada,4500
Road,07/01/2006 12:00:00 AM,Maine (by road only),United States,3700
Road,07/01/2006 12:00:00 AM,Other New England,United States,12000
Road,07/01/2006 12:00:00 AM,Middle Atlantic,United States,7500
Road,07/01/2006 12:00:00 AM,East North Central,United States,2800
Road,07/01/2006 12:00:00 AM,West North Central,United States,1100
Road,07/01/2006 12:00:00 AM,South Atlantic,United States,5300
Road,07/01/2006 12:00:00 AM,East South Central,United States,1000
Road,07/01/2006 12:00:00 AM,West South Central,United States,1600
